1,10,1
2,3,2
1,2,2
1,5,4
4,6,3
2,4,7
1,11,5
2,22,7
1,12,4
2,21,11
2,44,2
8,33,1
3,5,6
1,2,3
2,3,6
4,33,9
1,4,3
9,23,8
45,343,22
44,555,44
123,1234,12
2323,4444,23
454,5444,3
45,434,56
34,56,7
23,67,4
1,10,1
2,3,2
1,2,2
1,5,4
4,6,3
2,4,7
1,11,5
2,22,7
1,12,4
2,21,11
2,44,2
8,33,1
3,5,6
1,2,3
2,3,6
4,33,9
1,4,3
9,23,8
45,343,22
44,555,44
123,1234,12
2323,4444,23
454,5444,3
45,434,56
34,56,7
23,67,4
1,10,1
2,3,2
1,2,2
1,5,4
4,6,3
2,4,7
1,11,5
2,22,7
1,12,4
2,21,11
2,44,2
8,33,1
3,5,6
1,2,3
2,3,6
4,33,9
1,4,3
9,23,8
45,343,22
44,555,44
123,1234,12
2323,4444,23
454,5444,3
45,434,56
34,56,7
23,67,4
1,10,1
2,3,2
1,2,2
1,5,4
4,6,3
2,4,7
1,11,5
2,22,7
1,12,4
2,21,11
2,44,2
8,33,1
3,5,6
1,2,3
2,3,6
4,33,9
1,4,3
9,23,8
45,343,22
44,555,44
123,1234,12
2323,4444,23
454,5444,3
45,434,56
34,56,7
23,67,4
